EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-08-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 1850,NOTTINGHAM: WATNALL                     ,GB,+53:00:18,-001:15:00, 117
 1851,WARSOP                                  ,GB,+53:13:23,-001:06:54,  46
 1852,NEWTOWN LINFORD                         ,GB,+52:40:48,-001:12:58, 119
 1853,WELLESBOURNE                            ,GB,+52:12:22,-001:36:11,  47
 1854,KEELE                                   ,GB,+52:59:53,-002:16:12, 179
 1855,MALVERN                                 ,GB,+52:06:45,-002:18:25,  62
 1856,HALESOWEN                               ,GB,+52:26:13,-002:04:30, 153
 1857,KINLOCHEWE                              ,GB,+57:36:47,-005:18:36,  25
 1858,LYONSHALL                               ,GB,+52:12:43,-002:58:05, 155
 1859,HAMPSTEAD                               ,GB,+51:33:40,-000:10:44, 137
 1860,HEATHROW                                ,GB,+51:28:44,-000:26:56,  25
 1861,WYE                                     ,GB,+51:11:06,+000:56:53,  56
 1862,MANSTON                                 ,GB,+51:20:46,+001:20:24,  49
 1863,BOGNOR REGIS                            ,GB,+50:46:52,-000:40:34,   7
 1864,EASTBOURNE                              ,GB,+50:45:42,+000:17:07,   7
 1865,HASTINGS                                ,GB,+50:51:18,+000:34:19,  45
 1866,WALLINGFORD                             ,GB,+51:36:11,-001:06:29,  48
 1867,HURN                                    ,GB,+50:46:44,-001:50:02,  10
 1868,EVERTON                                 ,GB,+50:44:31,-001:34:26,  16
 1869,LECKFORD                                ,GB,+51:07:23,-001:26:17, 117
 1870,HAYLING ISLAND                          ,GB,+50:47:02,-000:59:02,   4
 1871,ALICE HOLT LODGE                        ,GB,+51:10:37,-000:50:53, 115
 1872,LYNEHAM                                 ,GB,+51:30:07,-001:59:28, 145
 1873,RHUM: KINLOCH                           ,GB,+57:00:50,-006:17:13,   5
 1874,BENMORE: YOUNGER BOTANIC GARDEN         ,GB,+56:01:41,-004:59:10,  12
 1875,BUTE: ROTHESAY                          ,GB,+55:50:20,-005:03:50,  43
 1876,LEADHILLS                               ,GB,+55:25:01,-003:45:32, 393
 1877,CARNWATH                                ,GB,+55:42:00,-003:37:59, 208
 3507,BRAEMAR-1                               ,GB,+57:00:40,-003:23:46, 327
 3508,LOWESTOFT MONKTON AVENUE                ,GB,+52:28:59,+001:43:52,  18
11102,BLACKPOOL SQUIRES GATE                  ,GB,+53:46:27,-003:02:17,  10
 2127,BOSCOMBE DOWN                           ,GB,+51:09:41,-001:45:11, 126
 2115,CARLISLE                                ,GB,+54:56:03,-002:57:44,  28
11103,CAWOOD                                  ,GB,+53:49:39,-001:08:48,   6
11104,CRANWELL                                ,GB,+53:01:51,-000:30:07,  63
  461,DURHAM                                  ,GB,+54:46:04,-001:35:04, 102
11105,LACOCK                                  ,GB,+51:25:51,-002:06:48,  49
11106,LOSSIEMOUTH                             ,GB,+57:42:42,-003:19:19,   7
11107,MONKS WOOD                              ,GB,+52:24:04,-000:14:07,  41
11108,MORECAMBE NO 2                          ,GB,+54:04:34,-002:51:30,   7
11109,PERSHORE COLLEGE                        ,GB,+52:05:59,-002:03:31,  37
11110,SUTTON BONINGTON                        ,GB,+52:50:10,-001:14:59,  43
11111,WIGHT ST CATHERINES POINT               ,GB,+50:34:30,-001:17:44,  20
11112,WISLEY                                  ,GB,+51:18:36,-000:28:29,  38
11113,WOBURN                                  ,GB,+52:00:51,-000:35:40,  89
